,index,school_district,avg_rating,total_enrollment,num_schools,avg_pct_low_income,state,first_word,school_district_id,GEOID
250,154,Moore County Schools,5.0,12866,24,50.3,NC,Moore,Moore County Schools,3703090
251,274,Mooresville Graded School District,6.0,6059,8,37.3,NC,Mooresville,Mooresville City Schools,3703120
252,564,Mount Airy City Schools,6.0,1659,4,59.2,NC,,,3703210
253,133,Nash-Rocky Mount Schools,3.5,15061,29,80.6,NC,Nash-Rocky,Nash-Rocky Mount Schools,3703270
254,144,Craven County Schools,4.6,13719,25,59.0,NC,Craven,Craven County Schools,3703310
255,85,New Hanover County Schools,5.4,26095,44,65.8,NC,,,3703330
256,576,Northampton County Schools,3.6,1589,6,98.7,NC,,,3703420
257,81,Onslow County Schools,5.2,26864,35,50.6,NC,Onslow,Onslow County Schools,3703450
258,246,Orange County Schools,5.3,7429,12,45.5,NC,,,3703480
259,597,Pamlico County Schools,6.3,1350,4,84.0,NC,Pamlico,Pamlico County Schools,3703510
260,293,Elizabeth City-Pasquotank Public Schools,3.6,5557,13,72.0,NC,Pasquotank,Pasquotank County Schools,3703540
261,200,Pender County Schools,6.4,9430,18,61.2,NC,Pender,Pender County Schools,3703570
262,566,Perquimans County Schools,4.0,1650,4,56.0,NC,Perquimans,Perquimans County Schools,3703600
263,342,Person County Schools,4.7,4426,11,81.5,NC,Person,Person County Schools,3703630
264,504,Polk County Schools,6.7,2227,7,72.9,NC,,,3703720
265,368,Randolph County Schools,3.8,4053,16,53.5,WV,,,3703780
266,611,Richmond Co Public Schools,5.5,1314,3,74.0,VA,Richmond,Richmond County Schools,3703870
267,247,Richmond County Schools,5.3,7337,16,98.6,NC,,,3703870
268,440,Roanoke Rapids City Schools,4.0,2945,5,62.4,NC,,,3703900
269,102,Public Schools of Robeson County,3.8,22423,41,99.3,NC,Robeson,Robeson County Schools,3703930
270,158,Rockingham County Schools,4.8,12550,24,68.4,NC,,,3703990
271,109,Rowan-Salisbury Schools,3.6,19585,32,67.7,NC,Rowan-Salisbury,Rowan-Salisbury Schools,3704050
272,230,Rutherford County Schools,6.3,8063,18,99.0,NC,Rutherford,Rutherford County Schools,3704080
273,229,Sampson County Schools,5.6,8196,18,98.8,NC,Sampson,Sampson County Schools,3704140
274,277,Scotland County Schools,3.0,5999,12,98.1,NC,Scotland,Scotland County Schools,3704200
275,221,Stanly County Schools,6.0,8445,22,53.4,NC,Stanly,Stanly County Schools,3704320
276,282,Stokes County Schools,5.7,5921,18,52.6,NC,Stokes,Stokes County Schools,3704380
277,239,Surry County Schools,6.5,7810,19,63.5,NC,,,3704410
278,527,Swain County Schools,5.0,2044,5,54.2,NC,Swain,Swain County Schools,3704440
279,488,Thomasville City Schools,3.8,2362,4,98.0,NC,,,3704500
280,407,Transylvania County Schools,5.9,3390,9,57.2,NC,Transylvania,Transylvania County Schools,3704530
281,740,Tyrrell County Schools,4.3,653,3,98.3,NC,Tyrrell,Tyrrell County Schools,3704590
282,52,Union County Public Schools,6.8,41388,50,37.2,NC,,,3704620
283,257,Vance County Schools,4.7,6856,17,98.4,NC,,,3704650
284,7,Wake County Schools,5.0,161561,171,37.5,NC,,,3704720
285,532,Warren County Schools,3.9,1984,8,98.2,NC,,,3704740
286,580,Washington County Schools,3.8,1502,5,97.7,NC,,,3704800
287,326,Watauga County Schools,6.6,4708,10,38.1,NC,Watauga,Watauga County Schools,3704830
288,113,Wayne County Public Schools,4.5,18302,29,87.2,NC,,,3704880
289,687,Weldon City Schools,2.8,841,4,98.2,NC,Weldon,Weldon City Schools,3704890
290,496,Whiteville City Schools,4.7,2286,5,97.6,NC,Whiteville,Whiteville City Schools,3704920
291,199,Wilkes County Schools,5.7,9434,22,85.0,NC,,,3704950
292,174,Wilson County Schools,5.1,11146,26,67.5,NC,,,3705020
293,300,Yadkin County Schools,6.1,5352,13,59.7,NC,Yadkin,Yadkin County Schools,3705040
294,509,Yancey County Schools,5.6,2195,10,51.8,NC,Yancey,Yancey County Schools,3705070
295,435,Abbeville 60,6.7,3012,9,68.5,SC,Abbeville,District of Columbia Public Schools,4500690
296,90,Aiken 01,5.2,24820,42,74.5,SC,Aiken,Aiken County School District,4500720
297,644,Allendale 01,2.0,1120,4,100.0,SC,Allendale,Allendale County School District,4500750
298,187,Anderson 01,7.1,10210,14,40.0,SC,Anderson 01,Anderson School District 1,4500780
299,386,Anderson 02,5.3,3771,7,56.0,SC,Anderson 02,Anderson School District 2,4500810
300,467,Anderson 03,7.2,2599,5,82.2,SC,Anderson 03,Anderson School District 3,4500840
301,452,Anderson 04,7.2,2843,6,53.3,SC,Anderson 04,Anderson School District 4,4500870
302,145,Anderson 05,5.5,13647,21,71.9,SC,Anderson 05,Anderson School District 5,4500900
303,614,Bamberg 01,4.0,1299,3,100.0,SC,Bamberg 01,Bamberg School District 1,4500930
304,734,Bamberg 02,2.3,671,3,100.0,SC,Bamberg 02,Bamberg School District 2,4500960
305,721,Barnwell 19,3.0,731,3,98.0,SC,Barnwell 19,Barnwell School District 19,4501020
306,686,Barnwell 29,4.0,842,3,100.0,SC,Barnwell 29,Barnwell School District 29,4501050
307,508,Barnwell 45,3.5,2203,4,100.0,SC,Barnwell 45,Barnwell School District 45,4501080
308,308,Chester 01,3.6,5168,12,100.0,SC,Chester,Chester County School District,4501530
309,715,Clarendon 01,3.3,752,3,100.0,SC,Clarendon 01,Clarendon School District 1,4501740
310,443,Clarendon 02,2.4,2897,6,100.0,SC,Clarendon 02,Clarendon School District 2,4501770
311,612,Clarendon 03,5.0,1308,2,59.0,SC,Clarendon 03,Clarendon School District 3,4501800
312,294,Colleton 01,2.6,5534,9,100.0,SC,Colleton,Colleton County School District,4501830
313,190,Darlington 01,4.4,9970,22,100.0,SC,Darlington,Darlington County School District,4501860
314,360,Dillon 04,3.0,4134,8,100.0,SC,Dillon 04,Dillon School District 4,4501920
315,570,Dillon 03,4.0,1624,3,66.3,SC,Dillon 03,Dillon School District 3,4501950
316,408,Edgefield 01,3.9,3363,8,63.6,SC,Edgefield,Edgefield County School District,4502070
317,463,Fairfield 01,5.0,2632,8,100.0,SC,Fairfield,Fairfield County School District,4502100
318,122,Florence 01,4.5,16150,24,66.3,SC,Florence 01,Florence School District 1,4502130
319,636,Florence 02,3.0,1155,2,62.5,SC,Florence 02,Florence School District 2,4502160
320,391,Florence 03,2.7,3680,8,100.0,SC,Florence 03,Florence School District 3,4502190
321,737,Florence 04,2.3,665,3,100.0,SC,Florence 04,Florence School District 4,4502220
322,628,Florence 05,4.7,1218,3,81.7,SC,Florence 05,Florence School District 5,4502250
323,202,Georgetown 01,4.3,9315,18,83.1,SC,Georgetown,Georgetown County School District,4502280
324,24,Greenville 01,6.2,77857,87,52.9,SC,Greenville,Greenville County School District,4502310
325,209,Greenwood 50,3.8,8886,14,100.0,SC,Greenwood 50,Greenwood School District 50,4502340
326,665,Greenwood 51,4.7,946,3,83.0,SC,Greenwood 51,Greenwood School District 51,4502370
327,577,Greenwood 52,5.7,1573,4,55.8,SC,Greenwood 52,Greenwood School District 52,4502400
328,44,Horry 01,6.6,44930,55,62.9,SC,Horry,Horry County School District,4502490
329,180,Kershaw 01,5.0,10769,19,57.9,SC,Kershaw,Kershaw County School District,4502550
330,289,Laurens 55,3.7,5755,9,100.0,SC,Laurens 55,Laurens School District 55,4502610
331,425,Laurens 56,4.2,3099,6,100.0,SC,Laurens 56,Laurens School District 56,4502640
332,82,Lexington 01,6.1,26735,30,37.8,SC,Lexington 01,Lexington School District 1,4502700
333,176,Lexington 02,4.5,11023,18,75.2,SC,Lexington 02,Lexington School District 2,4502730
334,524,Lexington 03,4.0,2073,4,67.0,SC,Lexington 03,Lexington School District 3,4502760
335,403,Lexington 04,1.4,3508,7,100.0,SC,Lexington 04,Lexington School District 4,4502790
336,118,Lexington 05,6.5,17404,22,45.0,SC,Lexington 05,Lexington School District 5,4502820
337,371,Marlboro 01,3.4,3964,8,100.0,SC,Marlboro,Marlboro County School District,4502970
338,726,McCormick 01,2.3,699,3,100.0,SC,McCormick,McCormick County School District,4503000
339,492,Saluda 01,4.8,2328,5,89.2,SC,Saluda,Saluda County School District,4503460
340,307,Spartanburg 01,6.8,5208,9,50.3,SC,Spartanburg 01,Spartanburg School District 1,4503480
341,186,Spartanburg 02,6.5,10232,15,52.7,SC,Spartanburg 02,Spartanburg School District 2,4503510
342,447,Spartanburg 03,5.9,2869,7,65.1,SC,Spartanburg 03,Spartanburg School District 3,4503540
343,445,Spartanburg 04,7.0,2894,4,64.0,SC,Spartanburg 04,Spartanburg School District 4,4503570
344,212,Spartanburg 05,5.8,8802,11,44.8,SC,Spartanburg 05,Spartanburg School District 5,4503600
345,171,Spartanburg 06,4.4,11439,14,64.7,SC,Spartanburg 06,Spartanburg School District 6,4503630
346,222,Spartanburg 07,4.1,8426,14,85.1,SC,Spartanburg 07,Spartanburg School District 7,4503660
347,309,Accomack Co Public Schools,4.6,5115,12,64.5,VA,Accomack,Accomack County Public Schools,5100060
348,139,Albemarle Co Public Schools,4.7,14114,27,33.0,VA,Albemarle,Albemarle County Public Schools,5100090
349,126,Alexandria City Public Schools,3.7,15966,19,57.1,VA,Alexandria,Alexandria City Public Schools,5100120
350,549,Amelia Co Public Schools,4.7,1761,3,49.3,VA,Amelia,Amelia County Public Schools,5100180
351,361,Amherst Co Public Schools,5.6,4123,10,53.3,VA,Amherst,Amherst County Public Schools,5100210
352,506,Appomattox Co Public Schools,5.0,2221,4,49.5,VA,Appomattox,Appomattox County Public Schools,5100240
353,78,Arlington Co Public Schools,5.8,27434,33,33.2,VA,Arlington,Arlington County Public Schools,5100270
354,175,Augusta Co Public Schools,4.6,11051,20,43.5,VA,Augusta,Augusta County Public Schools,5100300
355,196,Bedford Co Public Schools,5.3,9632,20,43.0,VA,Bedford,Bedford County Public Schools,5100360
356,718,Bland Co Public Schools,6.5,736,2,46.5,VA,Bland,Bland County Public Schools,5100390
357,329,Botetourt Co Public Schools,6.5,4659,12,31.5,VA,Botetourt,Botetourt County Public Schools,5100420
358,499,Bristol City Public Schools,5.8,2271,7,87.2,VA,Bristol,Bristol City Public Schools,5100450
359,451,Buchanan Co Public Schools,4.0,2862,10,80.4,VA,Buchanan,Buchanan County Public Schools,5100510
360,515,Buckingham Co Public Schools,3.3,2127,5,72.6,VA,Buckingham,Buckingham County Public Schools,5100540
361,672,Buena Vista City Public Schools,3.7,918,4,70.0,VA,Buena,Buena Vista City Public Schools,5100560
362,237,Campbell Co Public Schools,5.1,7890,14,49.1,VA,Campbell,Campbell County Public Schools,5100600
363,287,Caroline County Public Schools,5.6,5829,10,56.2,MD,,,5100660
364,88,Carroll County Public Schools,7.7,25137,42,23.2,MD,,,5100690
365,334,Charlottesville Cty Public Schools,2.6,4559,10,59.3,VA,Charlottesville,Charlottesville City Public Schools,5100780
366,54,Chesapeake City Public Schools,5.9,40879,45,41.8,VA,Chesapeake,Chesapeake City Public Schools,5100810
367,449,Colonial Heights City Public Schools,4.4,2866,6,56.0,VA,,,5100960
368,650,Covington City Public Schools,3.0,1070,3,64.7,VA,Covington City ,Covington City Public Schools,5100990
369,226,Culpeper Co Public Schools,4.6,8235,11,44.9,VA,Culpeper,Culpeper County Public Schools,5101050
370,288,Danville City Public Schools,2.2,5766,15,98.2,VA,Danville City ,Danville City Public Schools,5101110
371,526,Dickenson Co Public Schools,7.0,2054,5,79.6,VA,Dickenson,Dickenson County Public Schools,5101140
372,345,Dinwiddie Co Public Schools,5.7,4379,7,55.0,VA,Dinwiddie,Dinwiddie County Public Schools,5101170
373,602,Essex Co Public Schools,3.7,1322,3,84.3,VA,Essex,Essex County Public Schools,5101200
374,464,Falls Church City Public Schools,6.0,2620,5,4.6,VA,,,5101290
375,172,Fauquier Co Public Schools,4.9,11186,20,28.9,VA,Fauquier,Fauquier County Public Schools,5101320
376,396,Fluvanna Co Public Schools,4.3,3590,5,38.8,VA,Fluvanna,Fluvanna County Public Schools,5101380
377,647,Franklin City Public Schools,4.0,1075,3,99.0,VA,,,5101410
378,47,Frederick County Public Schools,7.1,42638,64,29.2,MD,,,5101470
379,390,Fredericksburg City Public Schools,2.3,3710,5,65.6,VA,Fredericksburg,Fredericksburg City Public Schools,5101510
380,603,Galax City Public Schools,4.7,1321,3,67.7,VA,Galax,Galax City Public Schools,5101560
381,481,Giles Co Public Schools,5.0,2445,6,51.0,VA,Giles,Giles County Public Schools,5101590
382,298,Gloucester Co Public Schools,6.1,5408,9,40.9,VA,Gloucester,Gloucester County Public Schools,5101620
383,460,Goochland Co Public Schools,5.2,2676,5,30.2,VA,Goochland,Goochland County Public Schools,5101650
384,563,Grayson Co Public Schools,6.5,1667,8,67.6,VA,Grayson,Grayson County Public Schools,5101690
385,501,Greensville Co Public Schools,2.2,2243,4,97.0,VA,Greensville,Greensville County Public Schools,5101740
386,108,Hampton City Public Schools,4.8,19589,31,63.5,VA,,,5101800
387,117,Hanover Co Public Schools,6.0,17726,24,24.1,VA,Hanover,Hanover County Public Schools,5101830
388,266,Harrisonburg City Public Schools,2.3,6437,10,74.3,VA,,,5101860
389,37,Henrico Co Public Schools,5.2,51523,66,50.3,VA,Henrico,Henrico County Public Schools,5101890
390,165,Highlands,3.6,12308,21,76.7,FL,Highland,Highland County Public Schools,5101950
391,346,Hopewell City Public Schools,3.8,4372,7,94.8,VA,Hopewell,Hopewell City Public Schools,5101980
392,295,Isle of Wight Co Public Schools,4.6,5531,9,34.0,VA,Isle of Wight ,Isle of Wight County Public Schools,5102010
393,691,King and Queen Co Public Schools,5.3,829,3,52.0,VA,King and Queen,King and Queen County Public Schools,5102070
394,505,King William Co Public Schools,4.3,2227,4,30.5,VA,King William ,King William County Public Schools,5102120
395,22,Loudoun Co Public Schools,5.8,81906,89,19.7,VA,Loudoun,Loudoun County Public Schools,5102250
396,320,Louisa Co Public Schools,5.0,4906,6,46.8,VA,Louisa,Louisa County Public Schools,5102280
397,578,Lunenburg Co Public Schools,3.8,1551,4,76.5,VA,Lunenburg,Lunenburg County Public Schools,5102310
398,223,Lynchburg City Public Schools,3.8,8263,17,81.3,VA,Lynchburg,Lynchburg City Public Schools,5102340
399,243,Manassas City Public Schools,2.4,7723,10,62.7,VA,,,5102360
400,389,Manassas Park City Public Schools,3.7,3724,4,64.2,VA,,,5102390
401,536,Martinsville City Public Schools,4.2,1942,5,98.8,VA,Martinsville,Martinsville City Public Schools,5102400
402,651,Mathews Co Public Schools,4.3,1064,3,43.3,VA,Mathews,Mathews County Public Schools,5102430
403,627,Middlesex Co Public Schools,4.3,1222,3,49.3,VA,Middlesex,Middlesex County Public Schools,5102490
404,9,Montgomery County Public Schools,6.0,153187,173,36.3,MD,,,5102520
405,546,Nelson Co Public Schools,5.2,1807,4,54.0,VA,Nelson,Nelson County Public Schools,5102580
406,74,Newport News City Public Schools,3.7,28652,40,74.4,VA,Newport,Newport News City Public Schools,5102640
407,69,Norfolk City Public Schools,3.5,30087,47,77.0,VA,Norfolk,Norfolk City Public Schools,5102670
408,609,Northumberland Co Public Schools,5.7,1315,3,58.3,VA,Northumberland,Northumberland County Public Schools,5102730
409,685,Norton City Public Schools,7.0,842,2,86.5,VA,Norton,Norton City Public Schools,5102760
410,512,Nottoway Co Public Schools,3.4,2175,5,67.2,VA,Nottoway,Nottoway County Public Schools,5102790
411,411,Page Co Public Schools,4.6,3348,10,58.8,VA,Page,Page County Public Schools,5102850
412,466,Patrick Co Public Schools,7.1,2600,7,52.3,VA,Patrick,Patrick County Public Schools,5102880
413,354,Petersburg City Public Schools,2.0,4194,8,99.1,VA,Petersburg,Petersburg City Public Schools,5102910
414,210,Pittsylvania Co Public Schools,5.8,8845,19,63.3,VA,Pittsylvania,Pittsylvania County Public Schools,5102940
415,516,Poquoson City Public Schools,7.3,2119,4,15.2,VA,Poquoson,Poquoson City Public Schools,5102980
416,142,Portsmouth City Public Schools,3.6,14006,21,78.2,VA,Portsmouth,Portsmouth City Public Schools,5103000
417,330,Powhatan Co Public Schools,5.4,4654,7,26.5,VA,Powhatan,Powhatan County Public Schools,5103030
418,523,Prince Edward Co Public Schools,2.0,2079,4,85.0,VA,Prince Edward ,Prince Edward County Public Schools,5103060
419,248,Prince George Co Public Schools,6.3,7331,9,40.6,VA,Prince George ,Prince George County Public Schools,5103090
420,20,Prince William Co Public Schools,5.5,90843,90,44.5,VA,Prince William,Prince William County Public Schools,5103130
421,568,Radford City Public Schools,5.3,1646,4,45.5,VA,Radford,Radford City Public Schools,5103180
422,702,Rappahannock Co Public Schools,6.0,802,2,36.5,VA,Rappahannock,Rappahannock County Public Schools,5103210
423,91,Richmond City Public Schools,3.4,24726,46,89.9,VA,Richmond City ,Richmond City Public Schools,5103240
424,143,Roanoke City Public Schools,4.4,13749,25,93.3,VA,Roanoke City ,Roanoke City Public Schools,5103300
425,453,Rockbridge Co Public Schools,6.3,2842,6,48.8,VA,Rockbridge,Rockbridge County Public Schools,5103370
426,379,Russell Co Public Schools,6.4,3868,13,64.5,VA,Russell,Russell County Public Schools,5103420
427,372,Salem City Public Schools,5.2,3958,6,39.8,VA,,,5103460
428,402,Scott Co Public Schools,7.5,3533,13,66.8,VA,Scott,Scott County Public Schools,5103480
429,275,Shenandoah Co Public Schools,3.9,6030,10,45.3,VA,Shenandoah,Shenandoah County Public Schools,5103510
430,349,Smyth Co Public Schools,5.8,4332,13,73.2,VA,Smyth,Smyth County Public Schools,5103520
431,448,Southampton Co Public Schools,5.7,2869,7,49.7,VA,Southampton,Southampton County Public Schools,5103600
432,94,Spotsylvania Co Public Schools,4.6,23668,30,40.2,VA,Spotsylvania,Spotsylvania County Public Schools,5103640
433,73,Stafford Co Public Schools,5.1,29270,31,31.8,VA,Stafford,Stafford County Public Schools,5103660
434,458,Staunton City Public Schools,4.6,2727,6,61.8,VA,Staunton,Staunton City Public Schools,5103690
435,137,Suffolk City Public Schools,5.0,14265,20,53.1,VA,Suffolk,Suffolk City Public Schools,5103710
436,648,Sussex Co Public Schools,5.0,1074,3,88.3,VA,Sussex,Sussex County Public Schools,5103780
437,283,Tazewell Co Public Schools,6.6,5913,16,64.6,VA,Tazewell,Tazewell County Public Schools,5103810
438,433,Waynesboro City Public Schools,3.2,3032,7,68.0,VA,,,5103930
439,700,West Point Public Schools,8.7,813,3,30.3,VA,West,West Point Town Public Schools,5103950
440,565,Westmoreland Co Public Schools,5.2,1651,4,77.0,VA,Westmoreland,Westmoreland County Public Schools,5103980
441,348,Winchester City Public Schools,2.6,4357,7,72.4,VA,Winchester,Winchester City Public Schools,5104050
442,273,Wise Co Public Schools,8.0,6062,13,78.9,VA,Wise,Wise County Public Schools,5104080
443,366,Wythe Co Public Schools,7.0,4076,13,50.9,VA,Wythe,Wythe County Public Schools,5104110
444,484,Barbour County Board of Education,3.9,2431,9,49.1,WV,Barbour,Barbour County School District,5400030
445,381,Boone County  Schools,4.8,3840,13,57.8,WV,Boone,Boone County School District,5400090
446,530,Braxton County Schools,3.8,2013,8,59.0,WV,Braxton,Braxton County School District,5400120
447,325,Brooke County Schools,7.0,4780,16,44.9,WV,Brooke,Brooke County School District,5400150
448,161,Cabell County Schools,5.2,12517,26,52.6,WV,Cabell,Cabell County School District,5400180
449,640,Doddridge County Schools,6.0,1124,4,46.8,WV,Doddridge,Doddridge County School District,5400270
450,322,Greenbrier County Schools,5.1,4868,14,55.3,WV,Greenbrier,Greenbrier County School District,5400390
451,434,Hampshire County Schools,5.4,3024,10,66.9,WV,Hampshire,Hampshire County School District,5400420
452,486,Hardy County Schools,3.8,2370,6,46.7,WV,Hardy,Hardy County School District,5400480
453,86,Kanawha County Schools,5.0,25936,65,55.3,WV,Kanawha,Kanawha County School District,5400600
454,469,Lewis County Schools,3.2,2581,6,57.5,WV,Lewis,Lewis County School District,5400630
455,267,Logan County Schools,4.5,6366,20,58.1,WV,Logan,Logan County School District,5400690
456,331,Marshall County Schools,4.6,4647,14,47.5,WV,Marshall,Marshall County School District,5400750
457,364,Mason County Schools,4.7,4084,12,52.2,WV,Mason,Mason County School District,5400780
458,208,McDowell County Schools,4.9,8994,25,62.7,NC,McDowell,McDowell County School District,5400810
459,206,Mercer County Schools,4.9,9004,26,60.2,WV,Mercer,Mercer County School District,5400840
460,357,Mineral County Schools,5.2,4165,14,46.3,WV,Mineral,Mineral County School District,5400870
461,292,Mingo County Schools,4.9,5644,16,63.5,WV,Mingo,Mingo County School District,5400900
462,168,Monongalia County Schools,5.4,11679,19,42.4,WV,Monongalia,Monongalia School District,5400930
463,388,Nicholas County Schools,5.1,3735,14,54.2,WV,Nicholas,Nicholas County School District,5401020
464,303,Ohio County Schools,6.2,5278,12,44.7,WV,Ohio,Ohio County School District,5401050
465,668,Pendleton County Schools,5.5,931,4,55.2,WV,Pendleton,Pendleton County School District,5401080
466,645,Pleasants County Schools,6.0,1102,5,41.2,WV,Pleasants,Pleasants County School District,5401110
467,655,Pocahontas County Schools,4.6,1014,5,55.4,WV,Pocahontas,Pocahontas County School District,5401140
468,343,Preston County Schools,3.8,4415,10,48.9,WV,Preston,Preston County School District,5401170
469,162,Raleigh County Schools,4.4,12476,30,58.7,WV,Raleigh,Raleigh County School District,5401230
470,584,Ritchie County Schools,5.2,1461,6,55.0,WV,Ritchie,Ritchie County School District,5401290
471,521,Roane County Schools,3.2,2093,5,54.0,WV,Roane,Roane County School District,5401320
472,579,Summers County Schools,3.6,1510,5,58.0,WV,Summers,Summers County School District,5401350
473,656,Tucker County Schools,4.7,1013,3,53.7,WV,Tucker,Tucker County School District,5401410
474,619,Tyler County Schools,6.2,1268,4,44.5,WV,Tyler,Tyler County School District,5401440
475,385,Upshur County Schools,3.0,3807,10,52.7,WV,Upshur,Upshur County School District,5401470
476,607,Webster County Schools,4.2,1315,4,69.8,WV,Webster,Webster County School District,5401530
477,476,Wetzel County Schools,4.5,2527,9,53.6,WV,Wetzel,Wetzel County School District,5401560
478,657,Wirt County Schools,3.0,1010,3,50.7,WV,Wirt,Wirt County School District,5401590
479,163,Wood County Schools,6.3,12423,28,52.2,WV,Wood,Wood County School District,5401620
480,375,Wyoming County Schools,4.9,3947,13,50.2,WV,Wyoming,Wyoming County School District,5401650
